題目	選項A	選項B	選項C	選項D	正確答案	解說	標籤	啟用
你收到一則簡訊說：「你的包裹無法投遞，請點擊連結確認地址。」你應該怎麼做？	立即點擊連結查看	不理會，直接到物流官網或 App 查詢	回覆簡訊詢問詳情	把連結轉發給朋友幫忙確認	1	這是常見的「假包裹」釣魚簡訊。詐騙者透過假連結竊取個資或植入惡意程式。正確做法是直接到物流官網或 App 查詢包裹狀態，切勿點擊不明連結。	anti_fraud	TRUE
有人在社群上推薦你一個「穩賺不賠」的投資群組，保證月報酬率 30%，你應該？	馬上加入，機會難得	先投少量試試看	認定是詐騙，不予理會	請對方提供公司執照後再考慮	2	「穩賺不賠」和「高額報酬保證」是投資詐騙最典型的話術。合法投資一定有風險，任何保證獲利的說法都是詐騙。請直接忽略並檢舉。	anti_fraud	TRUE
你在交友軟體認識一個人，對方說自己在國外工作，聊了一週後開始請你幫忙代收包裹或匯款，你應該？	對方看起來很真誠，幫忙一下沒關係	只幫一次就好	拒絕並提高警覺，這是典型的愛情詐騙手法	要求視訊通話後再決定	2	這是典型的「殺豬盤」愛情詐騙。詐騙者會先建立感情信任，再以各種理由要求匯款或代收包裹（可能涉及洗錢）。無論對方看起來多真誠，都不應該幫陌生網友處理金錢。	anti_fraud	TRUE
你接到電話，對方自稱是警察，說你的帳戶涉及洗錢案件，要求你把錢轉到「安全帳戶」，你應該？	配合轉帳以證明清白	提供身分證字號讓對方查證	掛斷電話，撥打 165 反詐騙專線查證	請對方傳公文到你的 Email	2	警察絕對不會透過電話要求轉帳到「安全帳戶」！這是經典的假冒公務員詐騙。遇到類似電話，請立即掛斷並撥打 165 反詐騙專線查證。	anti_fraud	TRUE
你在網路上看到一個名牌包特賣網站，價格只有專櫃的兩折，且要求使用銀行轉帳付款，你應該？	趕快下單，這麼便宜很划算	先轉少量訂金試試	不購買，這極可能是一頁式詐騙購物網站	請賣家提供更多商品照片	2	一頁式詐騙購物網站的特徵：價格異常低、只能轉帳、無客服電話、限時搶購壓力。這類網站收錢後不出貨或寄送假貨，請認明官方購物管道。	anti_fraud	TRUE
朋友突然透過 LINE 傳訊息說急需借錢，請你匯款到一個你不認識的帳號，你應該？	朋友有難當然要幫，馬上匯款	先匯一小筆應急	打電話或當面確認是否為本人，帳號可能被盜	請他改用其他通訊軟體再說一次	2	LINE 帳號被盜用來借錢是非常常見的詐騙手法。即使是認識的人傳訊息，涉及金錢時一定要透過電話或見面確認本人身份，千萬不要直接匯款。	anti_fraud	TRUE
你收到一封 Email 說你的銀行帳戶有異常登入，需要點擊連結重新驗證密碼，你應該？	趕快點連結修改密碼	回覆 Email 詢問客服	不點擊連結，自行開啟銀行官方 App 或網站檢查帳戶狀態	轉寄給銀行的客服 Email	2	這是釣魚郵件（Phishing），目的是誘導你在假網站輸入帳號密碼。正確做法是不點擊信中任何連結，直接開啟銀行官方 App 或官網確認帳戶狀況。	anti_fraud	TRUE
有人在網路上招募「在家輕鬆賺」的工作，只要提供你的銀行帳戶幫忙收款轉帳，就能賺取佣金，你應該？	看起來很輕鬆，試試看	只提供一個不常用的帳戶	拒絕，提供帳戶給他人使用可能成為詐騙人頭帳戶	要求對方先付佣金再提供帳戶	2	這是「人頭帳戶」的招募手法。提供帳戶給詐騙集團使用，你不但拿不到佣金，還會成為詐欺幫助犯，面臨刑事責任。任何要你提供帳戶的「工作」都是陷阱。	anti_fraud	TRUE
你在 IG 上收到一則訊息，對方說你中了抽獎活動大獎，只需要支付運費就能領取，你應該？	運費不多，付了拿獎品	詢問獎品內容後再決定	不予理會，這是假中獎詐騙	提供地址讓對方寄送	2	假中獎詐騙會以「支付運費、稅金、手續費」等名目要你付錢。真正的活動抽獎不會要求得獎者先付費。遇到這種訊息請直接忽略或檢舉。	anti_fraud	TRUE
你接到電話，對方說是電信公司客服，表示你的門號即將被停用，需要提供身分證字號來驗證，你應該？	提供身分證字號以免門號被停	提供部分資料確認	掛斷電話，自行撥打電信公司官方客服電話確認	請對方用簡訊發送驗證連結	2	電信公司不會主動打電話要求你提供身分證字號。這是典型的假冒客服詐騙，目的是取得你的個資進行身份盜用。如有疑慮，請自行撥打電信公司官方客服確認。	anti_fraud	TRUE
